location,district,area,bed,latitude,longitude,price,type
"84 Seapark, Mount Prospect Avenue, Clontarf, Dublin 3",3,64 m²,2 Bed,53.367307,-6.1871809,"€ 279,000",Apartment
"85 Derry Road, Crumlin, Dublin 12",12,null,3 Bed,53.3237478,-6.3091724,"€ 300,000",Terrace
"85 Glin Drive, Bonnybrook, Coolock, Dublin 17",17,79 m²,4 Bed,53.3990131,-6.2067053,"€ 295,000",Terrace
"85 The Rectory, Stepaside, Dublin 18",18,59 m²,2 Bed,53.255536,-6.2185407,"€ 295,000",Apartment
"85A Saint Canice's Road, Glasnevin, Dublin 11",11,null,3 Bed,53.3841897,-6.273411,"€ 339,950",Detached
"86 Castleknock Elms, Castleknock, Dublin 15",15,null,3 Bed,53.3780216,-6.3714699,"€ 500,000",Semi-D
"86 Mourne Road, Drimnagh, Dublin 12",12,null,5 Bed,53.3293386,-6.3268551,"€ 425,000",End of Terrace
"86 Nutgrove Avenue, Churchtown, Rathfarnham, Dublin 14",14,90 m²,2 Bed,53.2929012,-6.2739765,"€ 440,000",Terrace
"86 Saint Aidan's Drive, Goatstown, Dublin 14",14,210 m²,4 Bed,53.2962774,-6.229723,"€ 1,175,000",Detached
"86 Shelbourne Park Apartments, Dublin 4",4,83 m²,2 Bed,53.3404699,-6.2304604,"€ 550,000",Apartment
"87 Boulevard, Bealing Village, Tyrrelstown, Dublin 15",15,125 m²,4 Bed,53.4183419,-6.388055,"€ 275,000",End of Terrace
"87 Clanranald Road Donnycarney Dublin 5, Donnycarney, Dublin 5",5,null,2 Bed,53.3755237,-6.2112305,"€ 310,000",Terrace
"87 Clonmacnoise Road, Crumlin, Dublin 12",12,77 m²,2 Bed,53.3275812,-6.3037719,"€ 320,000",End of Terrace
"87 Erris Square, Waterville, Blanchardstown, Dublin 15",15,116 m²,3 Bed,53.3917947,-6.3680416,"€ 330,000",Duplex
"87 Mountain View, Crinken Glen, Shankill, Dublin 18",18,57 m²,2 Bed,53.2282301,-6.1286537,"€ 360,000",Bungalow
"87 Philipsburgh Avenue, Fairview, Dublin 3",3,104 m²,3 Bed,53.3656757,-6.2399803,"€ 510,000",Terrace
"87 Saint Mary's Road North, East Wall, Dublin 3",3,62 m²,2 Bed,53.3557976,-6.2364325,"€ 330,000",Terrace
"88 College Park Way, Ballinteer, Dublin 16",16,null,3 Bed,53.2724528,-6.2401864,"€ 550,000",Semi-D
"88 Croftwood Park, Cherry Orchard, Dublin 22",22,91 m²,3 Bed,53.3367363,-6.3634109,"€ 250,000",Semi-D
"88 Grange Abbey Crescent, Donaghmede, Dublin 13",13,112 m²,3 Bed,53.3975351,-6.1589454,"€ 365,000",Semi-D
"88 Landscape Park, Churchtown, Dublin 14",14,129 m²,3 Bed,53.2995086,-6.2632493,"€ 625,000",Semi-D
"89 Aughavanagh Road, Crumlin, Dublin 12",12,60 m²,2 Bed,53.3302878,-6.2879901,"€ 360,000",Terrace
"89 Hollybank Road, Drumcondra, Dublin 9",9,150 m²,4 Bed,53.3678229,-6.2605357,"€ 625,000",End of Terrace
"89 Thomas Moore Road, Walkinstown, Dublin 12",12,null,3 Bed,53.3198416,-6.328993,"€ 449,950",End of Terrace
"8a Walkinstown Green, Walkinstown, Dublin 12",12,null,3 Bed,53.3212232,-6.3355007,"€ 349,950",End of Terrace
"9 Allendale Terrace, Clonsilla, Dublin 15",15,78 m²,2 Bed,53.3911277,-6.4259878,"€ 290,000",Terrace
"9 Angler's Rest, Beaver Row, Donnybrook, Dublin 4",4,65 m²,2 Bed,53.3178451,-6.2336194,"€ 410,000",Terrace
"9 Ard Na Greine, Eaton Brae, off Orwell Road, Rathgar, Dublin 6",6,182 m²,3 Bed,53.3036727,-6.2615952,"€ 1,150,000",End of Terrace
"9 Artane Cottages Lower, Malahide Road, Artane, Dublin 5",5,65 m²,2 Bed,53.3802234,-6.2094959,"€ 595,000",End of Terrace
"9 Ashfield Park, Mulhuddart, Dublin 15",15,85 m²,3 Bed,53.4015131,-6.4024926,"€ 249,950",Detached
"9 Beech Row, Nangor Road, Clondalkin, Dublin 22",22,77 m²,3 Bed,53.3237436,-6.398244,"€ 275,000",Bungalow
"9 Bolbrook Villas, Tallaght, Dublin 24",24,null,3 Bed,53.2854067,-6.3468827,"€ 260,000",Terrace
"9 Cedarwood Avenue, Glasnevin, Dublin 11",11,112 m²,3 Bed,53.394478,-6.2858894,"€ 495,000",Semi-D
"9 Chamberlain Court, Richmond Avenue, Fairview, Dublin 3",3,null,2 Bed,53.3641913,-6.2433479,"€ 280,000",Apartment
"9 Chapelwood View, Hollystown, Dublin 15",15,160 m²,4 Bed,53.4285822,-6.3820454,"€ 400,000",Semi-D
"9 Doon Avenue, North Circular Road, Dublin 7",7,173 m²,5 Bed,53.3584957,-6.2924029,"€ 695,000",Detached
"9 effra road, Rathmines, Dublin 6",6,200 m²,3 Bed,53.3212966,-6.2733513,"€ 1,700,000",Semi-D
"9 Fairview Close, Richmond Avenue, Fairview, Dublin 3",3,55 m²,1 Bed,53.3635097,-6.2425272,"€ 230,000",Apartment
"9 Foxrock Crescent, Foxrock, Dublin 18",18,131 m²,4 Bed,53.2762112,-6.1704367,"€ 695,000",Semi-D
"9 Goatstown Avenue, Goatstown, Dublin 14",14,120 m²,3 Bed,53.2964292,-6.2351378,"€ 675,000",Semi-D
"9 Granite Terrace, Inchicore, Dublin 8",8,null,3 Bed,53.3396353,-6.3234856,"€ 495,000",Terrace
"9 Homeleigh, Castleknock, Dublin 15",15,280 m²,5 Bed,53.3665404,-6.4007269,"€ 1,525,000",Detached
"9 Kildare Road, Crumlin, Dublin 12",12,null,3 Bed,53.3242268,-6.2973154,"€ 305,000",Semi-D
"9 Lentisk Lawn, The Donahies, Donaghmede, Dublin 13",13,null,3 Bed,53.395541,-6.1713,"€ 324,950",Semi-D
"9 Linnetfields View, Clonee, Dublin 15",15,null,3 Bed,53.4005349,-6.4374198,"€ 324,950",End of Terrace
"9 Magenta Crescent, Santry, Dublin 9",9,183 m²,4 Bed,53.3952604,-6.2440543,"€ 550,000",End of Terrace
"9 Oldcourt Lodge, Firhouse, Ballycullen, Dublin 16",16,null,3 Bed,53.2743995,-6.3459928,"€ 374,950",End of Terrace
"9 Owendore Crescent, Rathfarnham, Dublin 14",14,89 m²,3 Bed,53.294858,-6.2840956,"€ 525,000",Terrace
"9 Páirc Na Cuileann, Ballymun, Dublin 9",9,null,3 Bed,53.395799,-6.2757862,"€ 265,000",Semi-D
"9 Reuben Street, Rialto, Dublin 8",8,78 m²,2 Bed,53.3351253,-6.2914978,"€ 450,000",Terrace
"9 Richmond Parade, North Circular Road, Dublin 1",1,122 m²,4 Bed,53.3585505,-6.2488705,"€ 395,000",Terrace
"9 Rutland Cottages, Dublin 1",1,57 m²,3 Bed,53.3551866,-6.2516913,"€ 265,000",Terrace
"9 Rutland Street, Dublin 1",1,84 m²,2 Bed,53.3550617,-6.252245,"€ 210,000",End of Terrace
"9 Shanganagh Grove, Shankill, Dublin 18",18,null,3 Bed,53.2300854,-6.1167512,"€ 495,000",Semi-D
"9 Sion Hill Park, Drumcondra, Dublin 9",9,105 m²,3 Bed,53.3760789,-6.2370701,"€ 600,000",Terrace
"9 St Ignatius Road, Phibsborough, Dublin 7",7,100 m²,4 Bed,53.3614777,-6.2611814,"€ 495,000",Terrace
"9 St Jarlath Road, Cabra, Dublin 7",7,null,3 Bed,53.3651618,-6.2841358,"€ 375,000",Terrace
"9 St Patricks Villas, Ringsend, Dublin 4",4,61 m²,2 Bed,53.3420146,-6.2259541,"€ 395,000",Terrace
"9 Summerhill Place, Dublin 1",1,56 m²,2 Bed,53.355159,-6.2518354,"€ 160,000",End of Terrace
"9 Turnapin Cottages, Cloghran, Santry, Dublin 9",9,96 m²,3 Bed,53.4085508,-6.2324242,"€ 330,000",Semi-D
"9 Wellmount Avenue, Finglas West, Finglas, Dublin 11",11,101 m²,3 Bed,53.3854796,-6.3088279,"€ 275,000",End of Terrace
"90 Bridgewater Quay, Islandbridge, Dublin 8",8,65 m²,2 Bed,53.3477081,-6.3061859,"€ 325,000",Apartment
"90 Castleknock Park, Castleknock, Dublin 15",15,132 m²,4 Bed,53.3719215,-6.3584868,"€ 695,000",Detached
"90 Clearstream Court, McKee Avenue, Finglas, Dublin 11",11,130 m²,3 Bed,53.39266,-6.299153,"€ 315,000",Terrace
"90 Clonliffe Road, Drumcondra, Dublin 3",3,90 m²,3 Bed,53.3621478,-6.2475634,"€ 450,000",Terrace
"90 Cromcastle Road, Kilmore, Dublin 5",5,71 m²,3 Bed,53.3964486,-6.2221074,"€ 290,000",Terrace
"90 Oxmantown Road, Stoneybatter, Dublin 7",7,64 m²,2 Bed,53.3529987,-6.2904057,"€ 365,000",Terrace
"91 Briarfield Grove, Kilbarrack, Dublin 5",5,null,4 Bed,53.3893122,-6.1553629,"€ 339,950",Terrace
"91 Dundaniel Road, Coolock, Kilmore, Dublin 5",5,69 m²,3 Bed,53.3978599,-6.2238976,"€ 200,000",Terrace
"91 Edgewood Lawns, Blanchardstown, Dublin 15",15,97 m²,3 Bed,53.3964445,-6.3819635,"€ 320,000",Semi-D
"91 Moyne Road, Ranelagh, Dublin 6",6,168 m²,4 Bed,53.3234563,-6.2505421,"€ 950,000",Semi-D
"91 Shanganagh Cliffs, Shankill, Dublin 18",18,81 m²,3 Bed,53.2413208,-6.1147243,"€ 365,000",Terrace
"91 The Gateway Student Village, Block F, Ballymun, Dublin 9",9,75 m²,3 Bed,53.3942793,-6.2629225,"€ 175,000",Apartment
"91A Jamestown Avenue, Inchicore, Dublin 8",8,114 m²,3 Bed,53.3360138,-6.3281445,"€ 395,000",Detached
"92 Cashel Road, Crumlin, Dublin 12",12,null,2 Bed,53.3196779,-6.3043998,"€ 300,000",Terrace
"92 Castlecurragh Park, Blanchardstown, Dublin 15",15,100 m²,3 Bed,53.401243,-6.390791,"€ 260,000",End of Terrace
"92 Clonsilla Road, Blanchardstown, Dublin 15",15,187 m²,5 Bed,53.3887556,-6.380867,"€ 500,000",Semi-D
"92 Rockfield Avenue, Perrystown, Dublin 12",12,142 m²,5 Bed,53.3109887,-6.3129622,"€ 545,000",Semi-D
"92 Woodfield Scholarstown Road Dublin 16, Knocklyon, Dublin 16",16,127 m²,4 Bed,53.2777304,-6.3124604,"€ 499,000",Semi-D
"92A Saint John's Park East, Clondalkin, Dublin 22",22,114 m²,4 Bed,53.3154212,-6.4019232,"€ 325,000",Semi-D
"93 Clonmacnoise Road, Crumlin, Dublin 12",12,65 m²,2 Bed,53.3275812,-6.3037719,"€ 330,000",End of Terrace
"93 Derrynane Square, Dublin 1",1,52 m²,2 Bed,53.3606737,-6.2618653,"€ 295,000",Apartment
"93 Merchants Road, East Wall, Dublin 3",3,39 m²,2 Bed,53.3532432,-6.2274132,"€ 250,000",Terrace
"93 Park Road, Navan Road, Navan Road (D7), Dublin 7",7,119 m²,3 Bed,53.3717093,-6.3243787,"€ 420,000",Semi-D
"93 Saint Declan's Road, Marino, Dublin 3",3,83 m²,3 Bed,53.3700825,-6.2336339,"€ 395,000",End of Terrace
"93 Westend Village, Blanchardstown, Dublin 15",15,65 m²,2 Bed,53.3886042,-6.3906675,"€ 235,000",Apartment
"95 Finglas Park, Finglas East, Finglas, Dublin 11",11,null,3 Bed,53.3911249,-6.2887366,"€ 299,950",Terrace
"95 Shrewsbury, Ballsbridge, Dublin 4",4,63 m²,2 Bed,53.326205,-6.2190513,"€ 490,000",Apartment
"96 Rathfarnham Road, Terenure, Dublin 6W",6W,181 m²,4 Bed,53.3068242,-6.2831567,"€ 1,295,000",Semi-D
"97 Butterfield Park, Rathfarnham, Dublin 14",14,127 m²,4 Bed,53.291126,-6.2933007,"€ 695,000",Semi-D
"97 Terenure Road East, Terenure, Dublin 6",6,84 m²,2 Bed,53.3099107,-6.2829572,"€ 395,000",Apartment
"98 Drumcliffe Road, Cabra, Dublin 7",7,77 m²,2 Bed,53.36331,-6.2966298,"€ 365,000",End of Terrace
"98 Foxfield Road, Raheny, Dublin 5",5,141 m²,5 Bed,53.3831841,-6.1689154,"€ 620,000",Semi-D
"98 Whitehall Road West, Perrystown, Dublin 12",12,89 m²,3 Bed,53.3121728,-6.3206226,"€ 450,000",Terrace
"99 Greenlea Road, Terenure Road North, Terenure, Dublin 6",6,110 m²,3 Bed,53.3098725,-6.2829949,"€ 775,000",Semi-D
"Abercorn, 140B Howth Road, Sutton, Dublin 13",13,245 m²,4 Bed,53.3897774,-6.1087369,"€ 995,000",Semi-D
"alpine rise belgard rd dublin 24, Tallaght, Dublin 24",24,null,3 Bed,53.2981193,-6.3868238,"€ 365,000",Detached
"Alverna, 5 Meadow Park, Churchtown, Dundrum, Dublin 14",14,79 m²,2 Bed,53.2884828,-6.257369,"€ 525,000",Bungalow
"Apartment 1, 3 Capel Street, Dublin 1",1,52 m²,1 Bed,53.3462686,-6.2678055,"€ 295,000",Apartment
"Apartment 1, Adelaide Square, Dublin 8",8,67 m²,2 Bed,53.3223792,-6.2068608,"€ 395,000",Apartment
"Apartment 1, Block F, Smithfield Market, Smithfield, Dublin 7",7,60 m²,2 Bed,53.3477882,-6.2792739,"€ 345,000",Apartment
"Apartment 1, Brook House, Richmond Road, Fairview, Dublin 3",3,82 m²,2 Bed,53.3643626,-6.2457369,"€ 290,000",Apartment
"Apartment 1, Jasonia Centre, Dublin 2",2,80 m²,2 Bed,53.3464906,-6.267673,"€ 399,950",Apartment
"Apartment 1, Kingston Lodge, Drumcondra, Dublin 3",3,40 m²,1 Bed,53.3634956,-6.2555061,"€ 230,000",Apartment
"Apartment 1, Montgomery Court, Dublin 1",1,86 m²,1 Bed,53.3524638,-6.2495324,"€ 325,000",Duplex
"Apartment 1, Temple Bar Square, Temple Bar, Dublin 2",2,46 m²,2 Bed,53.3447327,-6.2638815,"€ 350,000",Apartment
"Apartment 1, The Friary Apartments, Temple Bar, Dublin 2",2,null,2 Bed,53.3447327,-6.2638815,"€ 420,000",Apartment
"Apartment 10, 28 Marrsfield Avenue, Clongriffin, Dublin 13",13,75 m²,2 Bed,53.4078252,-6.1564023,"€ 270,000",Apartment
"Apartment 10, 82 Reuben Street, Rialto, Dublin 8",8,72 m²,2 Bed,53.3373983,-6.2929202,"€ 295,000",Apartment
"Apartment 10, Brookmount Court, Butterfield Avenue, Rathfarnham, Dublin 14",14,52 m²,2 Bed,53.2973734,-6.2910348,"€ 375,000",Apartment
"Apartment 10, Coultry Neighbourhood Centre, Santry, Dublin 9",9,55 m²,2 Bed,53.3943456,-6.2644766,"€ 190,000",Apartment
"Apartment 10, Kilmainham Square, Kilmainham, Dublin 8",8,87 m²,2 Bed,53.3416903,-6.3050548,"€ 435,000",Apartment
"Apartment 10, Le Bret Terrace, Rathfarnham Gate, Rathfarnham, Dublin 14",14,106 m²,3 Bed,53.2989024,-6.2847386,"€ 405,000",Duplex
"Apartment 10, Liberty Corner, Dublin 1",1,53 m²,2 Bed,53.3578737,-6.2478082,"€ 315,000",Apartment
"Apartment 10, Rosemount Court, Inchicore Road, Inchicore, Dublin 8",8,65 m²,2 Bed,53.342689,-6.3120217,"€ 280,000",Apartment
"Apartment 10, The Red Mill, 64-69 Brunswick Street North, Smithfield, Dublin 1",1,58 m²,2 Bed,53.3502153,-6.2747689,"€ 285,000",Apartment
"Apartment 105, Block 1/2, Gracepark Manor, Drumcondra, Dublin 3",3,79 m²,2 Bed,53.3676907,-6.2500848,"€ 369,950",Apartment
"Apartment 106, Fisherman's Wharf, Ringsend, Dublin 4",4,81 m²,3 Bed,53.3440402,-6.2272924,"€ 425,000",Apartment
"Apartment 108, College View, Ballymun, Dublin 11",11,61 m²,2 Bed,53.394697,-6.2644411,"€ 195,000",Apartment
"Apartment 108, Kilmainham Bank, Dublin 8",8,102 m²,3 Bed,53.3408563,-6.3153443,"€ 399,000",Apartment
"Apartment 109, Sandyford View, Sandyford, Dublin 18",18,70 m²,2 Bed,53.2697667,-6.2393726,"€ 295,000",Apartment
"Apartment 11, Block 12, Dublin 2",2,49 m²,1 Bed,53.2857923,-6.1548982,"€ 340,000",Apartment
"Apartment 11, Bow Bridge House, Bow Bridge, Kilmainham, Dublin 8",8,48 m²,2 Bed,53.330676,-6.266168,"€ 275,000",Apartment
"Apartment 11, Grafton Hall, Dublin 2",2,48 m²,2 Bed,53.3414252,-6.2726053,"€ 275,000",Apartment
"Apartment 11, Hollybrook Manor, Clontarf, Dublin 3",3,40 m²,1 Bed,53.3663997,-6.2183296,"€ 230,000",Apartment
"Apartment 11, Mellor Court, Dublin 1",1,46 m²,1 Bed,53.3478879,-6.2626948,"€ 245,000",Apartment
"Apartment 11, The Crescent, Park West, Dublin 12",12,null,2 Bed,53.2817991,-6.3583366,"€ 235,000",Apartment
"Apartment 111, Corn Mill, Drumcondra, Dublin 3",3,92 m²,2 Bed,53.363007,-6.2493206,"€ 390,000",Apartment
"Apartment 113, The Elm, Rathfarnham, Dublin 14",14,70 m²,2 Bed,53.2950791,-6.2943341,"€ 375,000",Apartment
"Apartment 115, Bachelors Walk Apartments, Dublin 1",1,35 m²,1 Bed,53.347089,-6.2624144,"€ 250,000",Apartment
"Apartment 115, Saint James's Woods, Dublin 8",8,66 m²,2 Bed,53.3396676,-6.3059016,"€ 275,000",Apartment
"Apartment 118, The Forum, Ballymoss Road, Sandyford, Dublin 18",18,98 m²,3 Bed,53.2777023,-6.2110538,"€ 545,000",Apartment
"Apartment 12 Morehampton Mews, 2 Morehampton Road, Donnybrook, Dublin 4",4,36 m²,1 Bed,53.3274501,-6.2433242,"€ 375,000",Apartment
"Apartment 12, Cairnbrook Hall, Cairnbrook, Glenamuck Road South, Carrickmines, Dublin 18",18,96 m²,2 Bed,53.2469049,-6.1815015,"€ 395,000",Apartment
"Apartment 12, Cairnbrook Hall, Cairnbrook, Glenamuck Road South, Carrickmines, Dublin 18",18,96 m²,2 Bed,53.2469049,-6.1815015,"€ 395,000",Apartment
"Apartment 12, Convent Hall, Convent Avenue, Mount Saint Annes, Milltown, Dublin 6",6,164 m²,3 Bed,53.3139984,-6.2504575,"€ 875,000",Apartment
"Apartment 120, The Oval, Cabinteely, Dublin 18",18,58 m²,2 Bed,53.2467094,-6.1773541,"€ 345,000",Apartment
"Apartment 121, Westminister, Castle Court, Kilgobbin Wood, Leopardstown, Dublin 18",18,null,2 Bed,51.4974948,-0.1356583,"€ 315,000",Apartment
"Apartment 122, Block E, The Tramyard, Inchicore, Dublin 8",8,75 m²,3 Bed,53.3389065,-6.3190585,"€ 299,950",Duplex
"Apartment 123, Griffith Hall, Glandore Road, Drumcondra, Dublin 3",3,110 m²,3 Bed,53.373804,-6.2369135,"€ 425,000",Apartment
"Apartment 13, Block 4C, The Moyle, Prospect Hill, Finglas, Dublin 11",11,79 m²,2 Bed,53.3813276,-6.2905908,"€ 250,000",Apartment
"Apartment 13, Block A, Reuben Square, Dublin 8",8,72 m²,2 Bed,53.3362553,-6.2917981,"€ 325,000",Apartment
"Apartment 13, Chestnut, Grattan Wood, Donaghmede, Dublin 13",13,85 m²,2 Bed,53.4024873,-6.1629046,"€ 260,000",Apartment
"Apartment 13, The Court, Dalcassian Downs, Glasnevin, Dublin 11",11,32 m²,1 Bed,53.3658315,-6.2724328,"€ 199,950",Apartment
"Apartment 130, The Chandler, Dublin 7",7,null,1 Bed,53.3464217,-6.2757118,"€ 235,000",Apartment
"Apartment 132, 35-38 Mountjoy Square South, Dublin 1",1,71 m²,2 Bed,53.3559523,-6.2558887,"€ 265,000",Apartment
"Apartment 134, The Old Distillery, Smithfield, Dublin 1",1,58 m²,2 Bed,53.3481583,-6.2768789,"€ 285,000",Apartment
"Apartment 14 Gateway View, Ballymun, Dublin 9",9,42 m²,1 Bed,53.3935427,-6.2645475,"€ 160,000",Apartment
"Apartment 140, Block B, The Timber Mill, Artane, Dublin 5",5,null,2 Bed,53.3853607,-6.2113331,"€ 259,950",Apartment
"Apartment 143, Block C, Lymewood Mews, Northwood, Santry, Dublin 9",9,85 m²,2 Bed,53.4029448,-6.25519,"€ 285,000",Apartment
"Apartment 147, Ulysses, Viking Harbour Apartments, Islandbridge, Dublin 8",8,null,2 Bed,53.3464359,-6.2834747,"€ 265,000",Apartment
"Apartment 15, Block A, Lymewood Mews, Northwood, Santry, Dublin 9",9,88 m²,2 Bed,53.4041122,-6.2600368,"€ 260,000",Apartment
"Apartment 15, Eglinton Wood, Eglinton Road, Donnybrook, Dublin 4",4,72 m²,2 Bed,53.3177636,-6.2385734,"€ 495,000",Duplex
"Apartment 15, Millrace Road, Phoenix Park Racecourse, Castleknock, Dublin 15",15,83 m²,2 Bed,53.3725,-6.3375674,"€ 382,500",Apartment
"Apartment 15, Scarlet Row, Dublin 8",8,41 m²,1 Bed,53.3445378,-6.2692931,"€ 275,000",Apartment
"Apartment 151, Block 6, Harcourt Green, Dublin 2",2,80 m²,3 Bed,53.3312517,-6.2610716,"€ 475,000",Apartment
"Apartment 151, The Richmond, Dublin 7",7,60 m²,2 Bed,53.3567947,-6.2912324,"€ 290,000",Apartment
"Apartment 153, Premier Square, Finglas, Dublin 11",11,null,2 Bed,53.3817894,-6.2897619,"€ 234,950",Apartment
"Apartment 157, Clifden Court, Smithfield, Dublin 1",1,33 m²,1 Bed,53.34702,-6.282977,"€ 230,000",Apartment
"Apartment 159, A.W. Pugin House, Loreto Abbey, Rathfarnham, Dublin 14",14,87 m²,2 Bed,53.292307,-6.2784757,"€ 355,000",Apartment
"Apartment 16, Raglan Hall, Clyde Road, Ballsbridge, Dublin 4",4,136 m²,2 Bed,53.3288165,-6.2399246,"€ 1,250,000",Apartment
"Apartment 16, Tower Court, Saint John's Road, Sandymount, Dublin 4",4,43 m²,1 Bed,53.3247831,-6.2077502,"€ 335,000",Apartment
"Apartment 162, Clifden Court, Dublin 7",7,57 m²,2 Bed,53.3384862,-6.3622272,"€ 305,000",Apartment
"Apartment 162, Tower Central, Smithfield, Dublin 7",7,103 m²,3 Bed,53.3478663,-6.2780447,"€ 559,950",Apartment
"Apartment 17, Belarmine Hall, Stepaside, Dublin 18",18,68 m²,2 Bed,53.2592655,-6.2228474,"€ 295,000",Apartment
"Apartment 170, Wyckham Point, Dundrum, Dublin 14",14,46 m²,1 Bed,53.2820864,-6.2438042,"€ 315,000",Apartment
"Apartment 176, The Oak, Rathfarnham, Dublin 14",14,null,3 Bed,53.2941748,-6.2488594,"€ 450,000",Apartment
"Apartment 179, Hampton Square, Dublin 7",7,null,2 Bed,53.3614337,-6.3032867,"€ 280,000",Apartment
"Apartment 18, Green View, Blanchardstown, Dublin 15",15,64 m²,2 Bed,53.3828553,-6.3852622,"€ 215,000",Apartment
"Apartment 18, Jervis Place, Dublin 1",1,56 m²,2 Bed,53.3469206,-6.2657661,"€ 290,000",Apartment
"Apartment 19, Lisin Glen, Ballyboggan Road, Glasnevin, Dublin 11",11,null,2 Bed,53.379264,-6.2764234,"€ 235,000",Apartment
"Apartment 19, Riverbank, Dodder Park Road, Rathfarnham, Dublin 14",14,61 m²,2 Bed,53.3157045,-6.270544,"€ 375,000",Apartment
"Apartment 19, South Gate Apartments, Dublin 8",8,47 m²,1 Bed,53.3383511,-6.2797282,"€ 295,000",Apartment
"Apartment 19, Temple Court, Northwood, Santry, Dublin 9",9,82 m²,2 Bed,53.4063294,-6.2483552,"€ 240,000",Apartment
"Apartment 19, The Atrium, The Steelworks, Dublin 1",1,57 m²,1 Bed,53.3525906,-6.2505868,"€ 240,000",Apartment
"Apartment 191, Block 4, Parklands, Northwood, Santry, Dublin 9",9,null,1 Bed,53.4066549,-6.2519736,"€ 214,950",Apartment
"Apartment 2, Beaumont Hall, Beaumont, Dublin 9",9,58 m²,2 Bed,53.3863404,-6.2291862,"€ 249,000",Apartment
"Apartment 2, La Rochelle, Christchurch, Dublin 8",8,44 m²,1 Bed,53.3430441,-6.2709222,"€ 245,000",Apartment
"Apartment 2, Mayeston Square, Finglas, Dublin 11",11,null,1 Bed,53.4066671,-6.2892184,"€ 174,950",Apartment
"Apartment 2, Raheny Wood, Raheny, Dublin 5",5,74 m²,2 Bed,53.3761029,-6.1671603,"€ 310,000",Apartment
"Apartment 20, Pakenham House, Dublin 1",1,132 m²,3 Bed,53.3499642,-6.2377106,"€ 625,000",Apartment
"Apartment 20, Parkview, Harold's Cross, Dublin 6",6,37 m²,1 Bed,53.3230244,-6.2788554,"€ 199,000",Apartment
"Apartment 20, Temple Court, Dublin 1",1,32 m²,1 Bed,53.3509997,-6.2899691,"€ 230,000",Apartment
"Apartment 20, The Alders, Carrington, Santry, Dublin 9",9,361 m²,2 Bed,53.4035285,-6.253208,"€ 255,000",Apartment
"Apartment 20, The Lime, Rockfield, Dundrum, Dublin 14",14,73 m²,2 Bed,53.2870145,-6.2365305,"€ 365,000",Apartment
"Apartment 204, Burnell Square, Mayne River Avenue, Malahide Road, Clarehall, Dublin 13",13,75 m²,2 Bed,53.404221,-6.1801432,"€ 275,000",Apartment
"Apartment 206, The Crescent, Park West, Dublin 12",12,null,2 Bed,53.303568,-6.3691473,"€ 210,000",Apartment
"Apartment 21, Block A, Cameron Court, The Coombe, Dublin 8",8,73 m²,2 Bed,53.3395127,-6.2793506,"€ 315,000",Apartment
"Apartment 21, Block D Butlers Court, Dublin 2",2,76 m²,2 Bed,53.3453867,-6.2334255,"€ 525,000",Apartment
"Apartment 21, Brent House, Redcourt Oaks, Seafield Road East, Clontarf, Dublin 3",3,75 m²,2 Bed,53.3629839,-6.1828326,"€ 425,000",Apartment
"Apartment 21, Mayeston Crescent, Saint Margaret's Road, Finglas, Dublin 11",11,65 m²,2 Bed,53.4062988,-6.285191,"€ 220,000",Apartment
"Apartment 21, Newmarket Square, Dublin 8",8,39 m²,1 Bed,53.3381328,-6.2764611,"€ 260,000",Apartment
"Apartment 21, Quartier Bloom, Bloom Lane, Dublin 1",1,45 m²,1 Bed,53.3407361,-6.276253,"€ 250,000",Apartment
"Apartment 21, The Lighthouse, Church Road, East Wall, Dublin 3",3,65 m²,2 Bed,53.3567599,-6.2340425,"€ 315,000",Apartment
"Apartment 214, Block 1/2, Gracepark Manor, Drumcondra, Dublin 9",9,76 m²,2 Bed,53.3676907,-6.2500848,"€ 345,000",Apartment
"Apartment 22, Block A, the Windmill, Dublin 2",2,54 m²,2 Bed,53.3453867,-6.2334255,"€ 350,000",Apartment
"Apartment 22, The Bay, Ballsbridge, Dublin 4",4,60 m²,1 Bed,53.3278232,-6.2318985,"€ 335,000",Apartment
"Apartment 223, Olcovar, Shankill, Dublin 18",18,74 m²,2 Bed,53.226494,-6.1265227,"€ 340,000",Apartment
"Apartment 226, Block G, The Waterside, Ringsend, Dublin 4",4,35 m²,1 Bed,53.3418611,-6.2267121,"€ 300,000",Apartment
"Apartment 229, The Richmond, Dublin 1",1,null,1 Bed,53.3511412,-6.2777243,"€ 235,000",Apartment
"Apartment 229, The Richmond, Dublin 7",7,null,1 Bed,53.3511412,-6.2777243,"€ 235,000",Apartment
"Apartment 23, 52 Mountjoy Square South, Dublin 1",1,null,2 Bed,53.3555628,-6.2576408,"€ 250,000",Apartment
"Apartment 23, Clonmore Court, Glasnevin, Dublin 11",11,62 m²,2 Bed,53.3780503,-6.2670665,"€ 250,000",Apartment
"Apartment 23, The Warehouse, Dublin 8",8,95 m²,1 Bed,53.3356136,-6.274735,"€ 495,000",Apartment
"Apartment 233, Block C, Station House, The Tramyard, Inchicore, Dublin 8",8,42 m²,1 Bed,53.3389065,-6.3190585,"€ 190,000",Apartment
"Apartment 234, William Palliser House, Loreto Abbey, Rathfarnham, Dublin 14",14,76 m²,2 Bed,53.2929118,-6.2803719,"€ 360,000",Apartment
